Fecha,Grano de Soya,Ratio Stock Consumo,Harina de Soya,Aceite de Soya
01-12-2016,363.58,0.147829751369574,355.5454025,1029.56
01-01-2017,383.6,0.144427974666487,333.5392666,1033.97
01-02-2017,383.97,0.145476445396145,342.620305,1038.38
01-03-2017,373.96,0.141114499584141,348.1960816,1042.79
01-04-2017,349.8,0.150882267862308,349.7357225,1047.19
01-05-2017,351.27,0.144881661100624,374.8576298,1049.4
01-06-2017,336.94,0.139773552918382,361.7283652,1053.81
01-07-2017,363.58,0.139822801150032,343.7320644,1056.01
01-08-2017,355.31,0.151255413877699,342.8762329,1060.42
01-09-2017,354.76,0.154792878650568,330.8980149,1062.63
01-10-2017,352.1,0.15546182806352,352.2084065,1064.83
01-11-2017,363.03,0.170784531646291,332.4620081,1067.04
01-12-2017,353.29,0.170019449847179,334.2206952,1069.24
01-01-2018,352.65,0.176265502741257,347.0027101,1071.45
01-02-2018,380.02,0.150689810747275,348.7877351,1071.45
01-03-2018,382.87,0.144085683492006,355.9612744,1073.65
01-04-2018,378.64,0.149018673367705,359.300895,1073.65
01-05-2018,377.45,0.159918984254197,402.9521824,1075.85
01-06-2018,316.46,0.170839959176892,411.6816639,1075.85
01-07-2018,332.71,0.178708439897698,423.6030858,1075.85
01-08-2018,328.4,0.183176992062673,415.5281131,1075.85
01-09-2018,325.09,0.199814397454593,370.9496977,1075.85
01-10-2018,330.97,0.202176433389544,365.9001548,1075.85
01-11-2018,327.85,0.17018022938285,348.9866521,1075.85
01-12-2018,329.77,0.149465403578749,340.4828715,1075.85
01-01-2019,330.23,0.156294025026933,343.1637923,1075.85
01-02-2019,331.89,0.173006169694911,339.2086525,1073.65
01-03-2019,326.84,0.185097060615732,342.0680997,1073.65
01-04-2019,330.23,0.200802272128363,342.0921978,1073.65
01-05-2019,300.47,0.197034023232501,335.3182135,1071.45
01-06-2019,326.65,0.16480970766685,341.567598,1071.45
01-07-2019,331.89,0.176296848564792,325.9821186,1069.24
01-08-2019,320.41,0.170944984586198,347.6237949,1069.24
01-09-2019,330.97,0.18022994026356,341.5011969,1067.04
01-10-2019,339.42,0.167573735955056,327.1611121,1067.04
01-11-2019,336.2,0.173918051196406,321.7593318,1064.83
01-12-2019,324.91,0.179512609804477,332.6774598,1062.63
01-01-2020,341.62,0.169840438724612,333.540138,1062.63
01-02-2020,325.64,0.15064663692325,327.1493701,1060.42
01-03-2020,320.68,0.0853545394300861,328.7893083,1060.42
01-04-2020,317.01,0.0578292059478327,320.9428582,1058.22
01-05-2020,305.16,0.0895900914184606,340.8398103,1058.22
01-06-2020,320.77,0.114320479763594,323.2977953,1058.22
01-07-2020,328.4,0.118426978943812,313.9190022,1056.01
01-08-2020,330.23,0.115855447392985,317.1453729,1056.01
01-09-2020,376.07,0.0994050388071395,318.2923013,1056.01
01-10-2020,390.31,0.0857050800128879,322.0251271,1056.01
01-11-2020,389.67,0.0852856970039114,362.0619216,1056.01
01-12-2020,483.27,0.098448422158471,410.9750894,1056.01
01-01-2021,496.04,0.09542290505777,432.0744174,1056.01
01-02-2021,502.47,0.110161616529708,450.7570141,1056.01
01-03-2021,518.64,0.132273706896551,486.104773,1056.01
01-04-2021,521.58,0.135609651012494,464.052889,1058.22
01-05-2021,589.92,0.138261322228006,446.2312401,1058.22
01-06-2021,562.36,0.17307039247077,464.7293071,1060.42
01-07-2021,531.87,0.182195502339387,436.6354081,1062.63
01-08-2021,475.46,0.173189073050951,399.1668551,1062.63
01-09-2021,471.42,0.191431858928045,394.5622014,1064.83
01-10-2021,441.48,0.228550524805132,382.0452453,1067.04
01-11-2021,462.79,0.202549575070821,360.9367054,1069.24
01-12-2021,500.63,0.168606975704979,372.9453599,1073.65
01-01-2022,506.6,0.181782334384858,404.7213573,1075.85
01-02-2022,585.97,0.184548146059495,459.3715746,1080.26
01-03-2022,626.3,0.205275987830457,473.4281965,1082.47
01-04-2022,641.82,0.2475,524.4060864,1086.88
01-05-2022,621.15,0.2638,514.8143105,1091.29
01-06-2022,635.39,0.2658,468.8028473,1093.49
01-07-2022,538.66,0.2636,465.3904551,1097.9
01-08-2022,589.83,0.2619,508.318736,1104.51
01-09-2022,532.23,0.2619,529.7255721,1108.92
01-10-2022,498.98,0.2643,489.5363151,1113.33
01-11-2022,526.17,0.2687,452.2030457,1117.74
01-12-2022,558.23,0.2695,455.7755355,1124.36
01-01-2023,551.71,0.2727,501.2859483,1128.77
01-02-2023,561.81,0.2728,534.2074684,1135.38
01-03-2023,524.79,0.2695,544.833986,1141.99
01-04-2023,550.24,0.263359762732825,516.2563337,1148.61
01-05-2023,476.38,0.256618844485546,490.863881,1153.02
01-06-2023,546.93,0.25041053709337,452.4134869,1159.63
01-07-2023,531.22,0.244692758111063,451.6168167,1166.24
01-08-2023,525.34,0.239426750095463,488.0841402,1172.86
01-09-2023,472.62,0.234576817891687,458.0732097,1179.47
01-10-2023,470.41,0.230110086676781,424.0139472,1186.09
01-11-2023,492.55,0.225996279120732,469.584486,1192.7
01-12-2023,480.7,0.222207510154352,492.1923597,1199.31
01-01-2024,455.44,0.218718097952873,425.9425557,1205.93
01-02-2024,430.73,0.21550438985405,391.0999428,1214.75
01-03-2024,434.31,0.212544602030742,369.8830806,1221.36
01-04-2024,434.13,0.209818671831227,371.2433133,1227.97
01-05-2024,445.88,0.207308121786353,395.8198381,1234.59
01-06-2024,432.84,0.204995934361693,404.2394899,1241.2
01-07-2024,419.34,0.202866436605746,396.8127894,1247.81
01-08-2024,380.3,0.200905193912258,367.7008866,1254.43
01-09-2024,372.86,0.199098912176571,348.6819657,1261.04
01-10-2024,361.01,0.197435347682735,357.4650793,1267.66
01-11-2024,366.89,0.195903224110608,325.5701784,1274.27
01-12-2024,363.58,0.19449215610034,317.7561773,1278.68
01-01-2025,379.93,0.193192578856166,332.9410559,1285.29
01-02-2025,385.63,0.191995683312303,328.2461696,1291.91
01-03-2025,367.16,0.190893356421508,325.916619,1296.32
01-04-2025,380.94,0.189878126161525,321.368751,1302.93
01-05-2025,385.81,0.18894311088666,321.2714418,1307.34
